No,Part Description,Package,Value,Qty,Ref,Note
1,Resistor_SMD,R_0805_2012Metric,5.1k,2,"R7, R8",
2,Resistor_SMD,R_0805_2012Metric,500,1,R6,
3,Resistor_SMD,R_0805_2012Metric,10k,2,"R4, R5",
4,Resistor_SMD,R_0805_2012Metric,22,2,"R2, R3",
5,Resistor_SMD,R_0805_2012Metric,33k,1,R1,
6,Fuse_SMD,Fuse_1206_3216Metric,500mA,1,F1,
7,MicroProcessor,TQFP-44_10x10mm_P0.8mm,ATmega32U4-AU,1,U1,
8,LED,WS2812B,WS2812B,95,IC1-IC95,
9,Capacitor_SMD,C_0805_2012Metric,0.1uF,3,"C1, C2, C5",
10,Capacitor_SMD,C_0805_2012Metric,22pF,2,"C3, C4",
11,Capacitor_SMD,C_0805_2012Metric,1uF,1,C6,
12,Capacitor_SMD,C_0805_2012Metric,10uF,1,C7,
13,Capacitor_SMD,C_0805_2012Metric,100nF,95,C8-C103,
14,Diode_SMD,D_SOD-123,D_SOD-123,95,D1-D95,
15,Crystal_SMD,Crystal_SMD_3225-4Pin_3.2x2.5mm,16MHz,1,Y1,
16,Push Button,SKQG-1155865,SW_Push,1,SW1,
